,Year,Total,Fresh,Processed
3,1970,13.485579267697952,13.485579267697952,
4,1971,13.039916016969965,13.039916016969965,
5,1972,12.31138754430766,12.31138754430766,
6,1973,12.737340084658982,12.737340084658982,
7,1974,11.317104192579984,11.317104192579984,
8,1975,11.4384575849759,11.4384575849759,
9,1976,12.626670030041051,12.626670030041051,
10,1977,12.618954862671918,12.618954862671918,
11,1978,11.890805759597455,11.890805759597455,
12,1979,11.396265801692918,11.396265801692918,
13,1980,10.650523436059125,10.650523436059125,
14,1981,11.652310341528748,11.652310341528748,
15,1982,12.478730166933692,12.478730166933692,
16,1983,11.313131916673424,11.313131916673424,
17,1984,14.422301462250578,14.422301462250578,
18,1985,13.50009057895046,13.50009057895046,
19,1986,12.752031385699622,12.752031385699622,
20,1987,12.98435569430487,12.98435569430487,
21,1988,13.545576909734267,13.545576909734267,
22,1989,13.62326171859207,13.62326171859207,
23,1990,13.27839420785825,13.27839420785825,
24,1991,12.72834981636574,12.72834981636574,
25,1992,14.704853900830694,14.704853900830694,
26,1993,14.188180115655799,14.188180115655799,
27,1994,15.001661405426745,15.001661405426745,
28,1995,15.155196738408668,15.155196738408668,
29,1996,16.584940259653575,16.584940259653575,
30,1997,15.490785645189659,15.490785645189659,
31,1998,14.341537830251887,14.341537830251887,
32,1999,15.210585316600728,15.210585316600728,
33,2000,13.818319220213539,13.818319220213539,
34,2001,15.007957631370921,15.007957631370921,
35,2002,14.04126318012495,14.04126318012495,
36,2003,13.542037003595157,13.542037003595157,
37,2004,12.985880538984814,12.985880538984814,
38,2005,13.54624715216322,13.54624715216322,
39,2006,15.116042800932085,15.116042800932085,
40,2007,14.409052850132404,14.409052850132404,
41,2008,15.564499932301015,15.564499932301015,
42,2009,14.922551773080123,14.922551773080123,
43,2010,15.70315627721031,15.70315627721031,
44,2011,13.827285337004172,13.827285337004172,
45,2012,13.889862048455049,13.889862048455049,
46,2013,14.480651362533138,14.480651362533138,
47,2014,13.90838929947083,13.90838929947083,
48,2015,14.867917632511313,14.867917632511313,
49,2016,16.547040616697416,16.547040616697416,
50,2017,16.16980503273571,16.16980503273571,
51,2018,15.712108981416526,15.712108981416526,
52,2019,15.446917130608735,15.446917130608735,
