,Year,Total,Fresh,Processed
4,1971,0.5070764370777373,0.5070764370777373,
5,1972,0.561230323588825,0.561230323588825,
6,1973,0.4884171979481759,0.4884171979481759,
7,1974,0.505017441806092,0.505017441806092,
8,1975,0.48987604932097994,0.48987604932097994,
9,1976,0.5453252918109478,0.5453252918109478,
10,1977,0.4631332325337475,0.4631332325337475,
11,1978,0.4838600983893793,0.4838600983893793,
12,1979,0.6100730932438737,0.6100730932438737,
13,1980,0.5871090696714473,0.5871090696714473,
14,1981,0.7475018046145951,0.7475018046145951,
15,1982,0.8230399503850329,0.8230399503850329,
16,1983,0.7345064381345843,0.7345064381345843,
17,1984,0.9545246839406298,0.9545246839406298,
18,1985,1.02278731559216,1.02278731559216,
19,1986,0.935379449908789,0.935379449908789,
20,1987,0.9929819937068581,0.9929819937068581,
21,1988,0.9146154819382829,0.9146154819382829,
22,1989,0.9743682804780425,0.9743682804780425,
23,1990,0.8458154404474437,0.8458154404474437,
24,1991,0.8268557037866925,0.8268557037866925,
25,1992,0.8788686293179289,0.8788686293179289,
26,1993,0.8638335752242994,0.8638335752242994,
27,1994,1.2662966350840432,1.2662966350840432,
28,1995,0.9247836217394404,0.9247836217394404,
29,1996,0.9894136462748503,0.9894136462748503,
30,1997,1.009710765301636,1.009710765301636,
31,1998,1.1799160499791754,1.1799160499791754,
32,1999,1.3208194212928983,1.3208194212928983,
33,2000,1.241738369106008,1.241738369106008,
34,2001,1.229625983712769,1.229625983712769,
35,2002,1.3238015987986707,1.3238015987986707,
36,2003,1.4360411423941206,1.4360411423941206,
37,2004,1.3633074772223983,1.3633074772223983,
38,2005,1.3951785640828065,1.3951785640828065,
39,2006,1.6776827269745322,1.6776827269745322,
40,2007,1.548578206023732,1.548578206023732,
41,2008,1.5368830055152538,1.5368830055152538,
42,2009,1.518232818859922,1.518232818859922,
43,2010,1.4675045804397933,1.4675045804397933,
44,2011,1.6987215852588886,1.6987215852588886,
45,2012,1.4606726409957966,1.4606726409957966,
46,2013,1.2832727974490736,1.2832727974490736,
47,2014,1.4369005072611105,1.4369005072611105,
48,2015,1.413985458822397,1.413985458822397,
49,2016,1.394435005555358,1.394435005555358,
50,2017,1.4263703950655526,1.4263703950655526,
51,2018,1.3528406158110595,1.3528406158110595,
52,2019,1.3653443606433613,1.3653443606433613,
