,Year,Total,Fresh,Processed
4,1971,1.277628619246872,0.37862670409946975,0.8990019151474022
5,1972,1.2655819462121625,0.403152037199375,0.8624299090127876
6,1973,1.2927251958231503,0.4003416560882266,0.8923835397349237
7,1974,1.0997691538765468,0.3887465280050876,0.7110226258714591
8,1975,1.2026265447920717,0.4117551731003412,0.7908713716917305
9,1976,1.224108434743823,0.43121562317136836,0.7928928115724545
10,1977,0.9933761891213372,0.33601931698020204,0.6573568721411351
11,1978,0.8459551443469999,0.2881505941550419,0.557804550191958
12,1979,0.7395644986522247,0.25060540756703914,0.48895909108518565
13,1980,0.7854682347058661,0.29395852910954395,0.4915097055963221
14,1981,0.7957054118282266,0.3104284981258099,0.4852769137024167
15,1982,0.7207891214915982,0.3774355263837925,0.34335359510780566
16,1983,0.8382699588524616,0.4322832864575109,0.40598667239495073
17,1984,0.8121063438736408,0.40617225447221894,0.40593408940142184
18,1985,0.8625604650732854,0.4653619383895399,0.39719852668374556
19,1986,0.9902596346040147,0.6031431408969835,0.38711649370703116
20,1987,0.9470656990823875,0.5661397670549085,0.38092593202747893
21,1988,1.037486256280074,0.5821378575713917,0.45534839870868216
22,1989,0.9508449836259105,0.5703459299269835,0.38049905369892695
23,1990,1.0060940644139893,0.5868671341531672,0.41922693026082225
24,1991,0.9687954524977022,0.600607306710639,0.36818814578706316
25,1992,0.9885923468823716,0.5956534407187399,0.39293890616363175
26,1993,0.9091817825594128,0.5673491921384796,0.3418325904209333
27,1994,0.9353065648582578,0.5594374459071653,0.37586911895109254
28,1995,0.8992554153145481,0.556754547807786,0.3425008675067621
29,1996,0.9119431117124573,0.5778981818316665,0.3340449298807908
30,1997,0.9375479731093159,0.6587964765199039,0.278751496589412
31,1998,0.9795675645522655,0.7310428010068268,0.24852476354543868
32,1999,1.1239019722322445,0.8941160063731894,0.22978596585905514
33,2000,1.2524673530307915,0.9566518849797265,0.295815468051065
34,2001,1.2044382110738785,0.9198330476191501,0.28460516345472836
35,2002,1.2429903086486362,0.9635836925156871,0.27940661613294926
36,2003,1.3434836009773066,1.0432084258451406,0.30027517513216595
37,2004,1.3966039746922436,1.1247170986711672,0.2718868760210765
38,2005,1.3657999690050127,1.1162937170580551,0.24950625194695758
39,2006,1.4102260620967118,1.1338796319313154,0.27634643016539645
40,2007,1.3955329518300505,1.1606203932778791,0.23491255855217136
41,2008,1.4815874050462203,1.1846333346261033,0.29695407042011707
42,2009,1.5227994580553204,1.2943572627121196,0.2284421953432007
43,2010,1.5816797383242487,1.3662979840478418,0.21538175427640693
44,2011,1.6436188946254837,1.3819439574215815,0.2616749372039022
45,2012,1.6761101640389133,1.4484829931928236,0.2276271708460897
46,2013,1.6323868957171792,1.4153406520389276,0.2170462436782517
47,2014,1.8212350760582705,1.6521297866975344,0.1691052893607361
48,2015,1.6404000262069074,1.4565680321121746,0.1838319940947329
49,2016,1.8029998798078342,1.5641501395059074,0.2388497403019267
50,2017,1.8234851623418589,1.6186674437628361,0.20481771857902284
51,2018,1.9024947981509035,1.7582048237180379,0.14428997443286565
52,2019,1.917685714396576,1.7590189689274645,0.15866674546911153
