,Year,Total,Fresh,Processed
4,1971,2.0379368297369274,,2.0379368297369274
5,1972,1.9971795555894345,,1.9971795555894345
6,1973,1.8828836906407938,,1.8828836906407938
7,1974,1.7586764802154742,,1.7586764802154742
8,1975,1.7358651312895588,,1.7358651312895588
9,1976,1.8487857454078473,,1.8487857454078473
10,1977,1.9901107433288387,,1.9901107433288387
11,1978,1.9008468674888246,,1.9008468674888246
12,1979,1.7268667659016685,,1.7268667659016685
13,1980,1.8194672545076098,,1.8194672545076098
14,1981,1.6145865040919087,,1.6145865040919087
15,1982,1.3642863071774127,,1.3642863071774127
16,1983,1.2963073416394761,,1.2963073416394761
17,1984,1.3021654185209481,,1.3021654185209481
18,1985,0.9511524922770768,,0.9511524922770768
19,1986,1.1568204003035703,,1.1568204003035703
20,1987,0.8755951464603423,,0.8755951464603423
21,1988,1.0211465576024426,,1.0211465576024426
22,1989,0.9657400983432344,,0.9657400983432344
23,1990,1.0231899247936047,,1.0231899247936047
24,1991,0.9450725911949037,,0.9450725911949037
25,1992,0.9164869557093587,,0.9164869557093587
26,1993,0.8315690380588269,,0.8315690380588269
27,1994,1.1359115686542463,,1.1359115686542463
28,1995,1.1254628465956624,,1.1254628465956624
29,1996,0.933521713817412,,0.933521713817412
30,1997,0.8940610892888551,,0.8940610892888551
31,1998,0.7499049309164659,,0.7499049309164659
32,1999,0.8392559838163949,,0.8392559838163949
33,2000,0.8014601958841386,,0.8014601958841386
34,2001,0.7793654781028847,,0.7793654781028847
35,2002,0.46664960667197164,,0.46664960667197164
36,2003,0.5509298501878463,,0.5509298501878463
37,2004,0.6431112586093874,,0.6431112586093874
38,2005,0.570874407047972,,0.570874407047972
39,2006,0.40221879061500193,,0.40221879061500193
40,2007,0.41919986090776434,,0.41919986090776434
41,2008,0.4989365172316122,,0.4989365172316122
42,2009,0.46618387103460884,,0.46618387103460884
43,2010,0.4752979076236022,,0.4752979076236022
44,2011,0.5171529691534659,,0.5171529691534659
45,2012,0.5562665409367915,,0.5562665409367915
46,2013,0.5307276749102677,,0.5307276749102677
47,2014,0.54,,0.54
48,2015,0.54,,0.54
49,2016,0.55,,0.55
50,2017,0.55,,0.55
51,2018,0.55,,0.55
52,2019,0.54,,0.54
