,Year,Total,Fresh,Processed
4,1971,2.264748797318707,2.264748797318707,
5,1972,2.403571292449594,2.403571292449594,
6,1973,2.534106621238362,2.534106621238362,
7,1974,2.7247561420408317,2.7247561420408317,
8,1975,2.4845698304880703,2.4845698304880703,
9,1976,2.6670030041048456,2.6670030041048456,
10,1977,2.799231743696621,2.799231743696621,
11,1978,2.7661342857784668,2.7661342857784668,
12,1979,2.9375041656483964,2.9375041656483964,
13,1980,2.8854851883403736,2.8854851883403736,
14,1981,2.786064026856144,2.786064026856144,
15,1982,2.972160490636898,2.972160490636898,
16,1983,3.3255515200143404,3.3255515200143404,
17,1984,3.6247397904784466,3.6247397904784466,
18,1985,3.800122449321916,3.800122449321916,
19,1986,3.96549359861376,3.96549359861376,
20,1987,4.229337243208514,4.229337243208514,
21,1988,4.475534750082646,4.475534750082646,
22,1989,4.688573109298057,4.688573109298057,
23,1990,5.881065121870453,5.881065121870453,
24,1991,6.301204641520673,6.301204641520673,
25,1992,7.101873467335555,7.101873467335555,
26,1993,7.630987164122495,7.630987164122495,
27,1994,7.0592418499202845,7.0592418499202845,
28,1995,7.010523397473335,7.010523397473335,
29,1996,8.068919543647537,8.068919543647537,
30,1997,7.33395798253613,7.33395798253613,
31,1998,7.762790861775348,7.762790861775348,
32,1999,7.719155365667127,7.719155365667127,
33,2000,8.185645995075872,8.185645995075872,
34,2001,8.119456000145234,8.119456000145234,
35,2002,8.264569949717743,8.264569949717743,
36,2003,8.414215415838122,8.414215415838122,
37,2004,8.636785825671454,8.636785825671454,
38,2005,9.205633457742003,9.205633457742003,
39,2006,9.457436631386074,9.457436631386074,
40,2007,9.364322718900365,9.364322718900365,
41,2008,9.479054225259025,9.479054225259025,
42,2009,9.800546893603677,9.800546893603677,
43,2010,10.331163247511153,10.331163247511153,
44,2011,10.56727870341496,10.56727870341496,
45,2012,10.750201218551078,10.750201218551078,
46,2013,10.030882972043962,10.030882972043962,
47,2014,10.716382050350525,10.716382050350525,
48,2015,10.73352043558152,10.73352043558152,
49,2016,11.07667924684282,11.07667924684282,
50,2017,11.304526014718373,11.304526014718373,
51,2018,11.16730501695791,11.16730501695791,
52,2019,10.881574049593759,10.881574049593759,
