,Year,Total,Fresh,Processed
4,1971,1.6208906342548672,0.7204048906631481,0.9004857435917192
5,1972,1.6297440637267981,0.7022525441170866,0.9274915196097115
6,1973,1.7698161946873423,0.7583443836741243,1.0114718110132181
7,1974,1.7849875616074518,0.7865179047387469,0.9984696568687048
8,1975,2.0043145532080398,0.9904015779750246,1.0139129752330152
9,1976,2.197353438668104,1.0768913247873049,1.120462113880799
10,1977,2.32116263241297,1.2273030662144309,1.093859566198539
11,1978,2.404669671066693,0.9873216973291101,1.4173479737375831
12,1979,2.5923831514311617,1.1996889649196862,1.3926941865114753
13,1980,2.8563294117663327,1.4009577299034803,1.4553716818628526
14,1981,3.220572026548707,1.656517920040354,1.5640541065083533
15,1982,3.503591154313832,1.98706565369442,1.516525500619412
16,1983,3.598848393607105,2.030686236433397,1.5681621571737079
17,1984,4.2009889106611435,2.457739011965407,1.7432498986957365
18,1985,4.539852580707354,2.5787693004453462,1.9610832802620077
19,1986,4.831424871732758,3.046635999850406,1.7847888718823524
20,1987,5.303458756857383,3.0875150327012735,2.215943724156109
21,1988,6.189885764893621,3.7743377098289534,2.4155480550646677
22,1989,5.972958369383283,3.804301206426729,2.1686571629565545
23,1990,5.600765155997633,3.36800189499944,2.2327632609981927
24,1991,5.294919897354168,3.0428097935643192,2.2521101037898483
25,1992,5.798692015150216,3.415728082399744,2.3829639327504726
26,1993,5.604366116539548,3.3329914929588287,2.2713746235807193
27,1994,6.739285192152934,4.430294462412124,2.3089907297408105
28,1995,6.856900349006029,4.30702305323064,2.549877295775388
29,1996,7.0349565082490635,4.5160619245217255,2.518894583727338
30,1997,7.248731919519846,4.965275033710501,2.283456885809345
31,1998,7.124132567987976,5.044979211560401,2.0791533564275757
32,1999,8.270286247551871,6.1592557976333255,2.1110304499185455
33,2000,8.141819504364607,5.888447875241248,2.2533716291233596
34,2001,7.436624717741573,5.39869385492507,2.0379308628165034
35,2002,7.448712652524957,5.351338237599345,2.097374414925612
36,2003,7.939716674356312,5.34726842411197,2.592448250244342
37,2004,7.98053303657152,5.313715638879882,2.666817397691639
38,2005,8.052033010138459,5.341623003752477,2.710410006385983
39,2006,8.014154920490945,5.761133951017543,2.253020969473403
40,2007,8.312235956727674,5.636014653412591,2.676221303315083
41,2008,8.730786880541162,6.034870789749667,2.695916090791495
42,2009,8.70778843022617,6.20726925617336,2.5005191740528105
43,2010,8.404415275645373,5.953870301660697,2.4505449739846776
44,2011,8.59787889205707,5.943254286949389,2.65462460510768
45,2012,8.866121083610594,6.305352410677553,2.560768672933041
46,2013,9.413198817211391,6.930393614013897,2.482805203197495
47,2014,9.234402096756167,6.649728528169717,2.584673568586449
48,2015,9.997674771363185,7.410223491103144,2.5874512802600407
49,2016,10.089885710513457,7.453678894864641,2.6362068156488156
50,2017,9.483062267958317,7.11717734550162,2.3658849224566962
51,2018,8.443345680012346,5.941977684347201,2.5013679956651456
52,2019,8.551190673722406,5.914587360487325,2.6366033132350815
