,Year,Total,Fresh,Processed
4,1971,11.289867447426333,8.822070586195771,2.4677968612305623
5,1972,10.558825175324923,8.372241491024127,2.1865836843007966
6,1973,10.99003828530171,8.860407061521691,2.1296312237800183
7,1974,11.09114297604908,8.825179795561457,2.2659631804876224
8,1975,10.965549485352334,8.912225139253517,2.0533243460988175
9,1976,10.583546829637443,8.364712087508886,2.2188347421285575
10,1977,10.470236951675227,8.282365975145185,2.187870976530043
11,1978,10.637642727666465,8.547804209627783,2.089838518038682
12,1979,10.11095533991131,8.052827086712137,2.0581282531991736
13,1980,9.982906692582226,7.997189605051686,1.9857170875305408
14,1981,10.179022129485663,8.152044215231816,2.0269779142538464
15,1982,10.253895458268559,8.556915086050958,1.6969803722175998
16,1983,10.284657918534657,8.206182487078918,2.078475431455739
17,1984,10.265261683643187,8.567531775178974,1.6977299084642135
18,1985,10.329590130899414,8.73724136774215,1.5923487631572633
19,1986,10.191561382492239,8.64094892603812,1.5506124564541182
20,1987,10.688579302930183,9.077527553088087,1.6110517498420949
21,1988,10.441078769826992,9.007227951889837,1.4338508179371563
22,1989,9.885697280687712,8.602845634789077,1.2828516458986343
23,1990,9.530793417207715,8.336802796123647,1.1939906210840674
24,1991,9.639277327184578,8.203890470348295,1.4353868568362835
25,1992,9.810625707318971,8.663359778741427,1.1472659285775453
26,1993,10.67545062675453,9.322563747094197,1.3528868796603335
27,1994,10.307768697577401,9.082278864695791,1.2254898328816106
28,1995,9.495563917556094,8.123049572886849,1.3725143446692452
29,1996,9.246785446877077,8.258002940663857,0.9887825062132185
30,1997,10.449814447422613,9.013414822360321,1.4363996250622915
31,1998,9.809937186273835,8.428245108016586,1.381692078257248
32,1999,8.788849165084265,7.553582144327682,1.2352670207565828
33,2000,10.273082806805439,8.899836159852685,1.373246646952754
34,2001,10.091555555890688,8.828018345960524,1.2635372099301632
35,2002,9.473164819586664,8.29507760609543,1.1780872134912324
36,2003,8.48847002134918,7.396751998525656,1.0917180228235246
37,2004,9.127191179451321,8.042974294475814,1.0842168849755076
38,2005,8.970343500045942,7.757397413794571,1.212946086251371
39,2006,8.959533362792254,7.7513071302918695,1.2082262325003843
40,2007,8.956933562243405,7.950856226808475,1.0060773354349295
41,2008,8.988132732212197,8.051385515263021,0.9367472169491757
42,2009,8.200554330050382,7.251252599674875,0.9493017303755062
43,2010,8.458245600359033,7.460422922362891,0.9978226779961427
44,2011,7.584018076969999,6.5627720940399525,1.021245982930046
45,2012,7.4136265118861235,6.260461680392028,1.1531648314940954
46,2013,7.92503934403845,6.9323986274847185,0.9926407165537313
47,2014,7.640267233590744,6.695154159943678,0.9451130736470654
48,2015,7.196606310475586,6.289548083000211,0.9070582274753748
49,2016,6.953463816171729,5.907211536186648,1.04625227998508
50,2017,7.584210320529798,6.200577907733814,1.3836324127959836
51,2018,6.282609610089588,5.685397192988807,0.5972124171007804
52,2019,7.2116475074569095,6.352347942948879,0.8592995645080304
