,Year,Total,Fresh,Processed
4,1971,9.483602885144212,6.116218259567275,3.3673846255769364
5,1972,10.422562441981977,6.54085832983954,3.8817041121424376
6,1973,10.74003725365089,6.702877178411488,4.037160075239401
7,1974,10.700462782655418,6.9117248216072635,3.788737961048154
8,1975,9.948371238672523,6.443861038185329,3.5045102004871946
9,1976,9.94894505726474,6.410438691035843,3.5385063662288982
10,1977,8.966294829886658,5.3101403475315445,3.656154482355114
11,1978,8.67516366040757,5.310330884830513,3.364832775577056
12,1979,9.581457200155192,5.887894070338361,3.693563129816831
13,1980,9.62445762180859,6.150812818913958,3.4736448028946323
14,1981,9.564027196325,6.1187305949575155,3.4452966013674846
15,1982,9.544611913635954,6.603269764156631,2.941342149479323
16,1983,9.538343371722956,6.489776233744618,3.0485671379783366
17,1984,10.664556576821859,6.684211417062975,3.980345159758885
18,1985,9.66100232025837,6.491072102521952,3.1699302177364195
19,1986,9.465912046906102,6.484078603454796,2.981833443451305
20,1987,11.437093952323686,8.295991828800185,3.141102123523501
21,1988,10.453271678754067,7.094493941335641,3.358777737418426
22,1989,11.46996155121249,8.085565734893386,3.384395816319105
23,1990,11.762326770737047,8.291476516399339,3.4708502543377096
24,1991,11.280566458699058,7.713142303732254,3.5674241549668038
25,1992,12.322738027182417,8.289939823429119,4.032798203753299
26,1993,14.679960607043096,10.846695736873453,3.833264870169642
27,1994,16.905179619744455,12.676987708589564,4.228191911154892
28,1995,15.40330170814122,11.191086082901592,4.212215625239628
29,1996,16.924301379849965,12.370076275554666,4.554225104295298
30,1997,18.16208865575717,14.113750527642612,4.048338128114558
31,1998,13.73543330326132,9.526669615920902,4.208763687340419
32,1999,13.070632743300093,9.252603687856924,3.8180290554431693
33,2000,12.992465119075023,9.2038453777644,3.788619741310623
34,2001,12.735940417081594,9.380094517797211,3.3558458992843834
35,2002,11.517709219496636,8.41736594630639,3.100343273190246
36,2003,11.904887768959917,8.778799250534783,3.126088518425134
37,2004,11.76756847827437,8.721080087098489,3.046488391175882
38,2005,11.766410226497507,8.664713276191083,3.1016969503064242
39,2006,11.14239521826099,8.1082438592579,3.0341513590030904
40,2007,10.477436449499448,8.049696219668569,2.4277402298308797
41,2008,10.563824787327107,8.067039931438343,2.496784855888765
42,2009,9.77683093839103,7.386188164831414,2.3906427735596147
43,2010,9.976277441386756,7.757643078089245,2.21863436329751
44,2011,9.888040397606783,7.50476754109685,2.3832728565099326
45,2012,9.934735964426057,7.949158273721438,1.9855776907046185
46,2013,10.466273790427724,8.018220406442515,2.448053383985209
47,2014,10.406845005002129,8.486728242935651,1.920116762066478
48,2015,10.84618946916152,8.797252791946917,2.048936677214601
49,2016,10.782245005654072,7.821845475966346,2.9603995296877272
50,2017,10.902335078507278,7.353920714544869,3.548414363962409
51,2018,15.588902364728646,12.20925719231972,3.3796451724089254
52,2019,11.47978274215811,8.471211576698277,3.0085711654598324
