,Year,Total,Fresh,Processed
4,1971,7.272151246502714,7.272151246502714,
5,1972,7.132413195106149,7.132413195106149,
6,1973,7.564884927020562,7.564884927020562,
7,1974,7.351797488005835,7.351797488005835,
8,1975,6.944163390794221,6.944163390794221,
9,1976,7.3591560987914795,7.3591560987914795,
10,1977,7.045746212069616,7.045746212069616,
11,1978,7.070337174562527,7.070337174562527,
12,1979,7.068494368043368,7.068494368043368,
13,1980,7.371643993219923,7.371643993219923,
14,1981,7.2720054268891925,7.2720054268891925,
15,1982,7.411937740107156,7.411937740107156,
16,1983,7.001314514717871,7.001314514717871,
17,1984,7.115046456919458,7.115046456919458,
18,1985,6.88035191599641,6.88035191599641,
19,1986,6.4927633793335575,6.4927633793335575,
20,1987,6.593573417241891,6.593573417241891,
21,1988,7.152856285787749,7.152856285787749,
22,1989,7.474266400368719,7.474266400368719,
23,1990,7.194457326531591,7.194457326531591,
24,1991,6.732698733298356,6.732698733298356,
25,1992,7.323358599266622,7.323358599266622,
26,1993,7.261399696451557,7.261399696451557,
27,1994,7.23663467028045,7.23663467028045,
28,1995,6.934465701519749,6.934465701519749,
29,1996,7.02725655716124,7.02725655716124,
30,1997,6.549176371870787,6.549176371870787,
31,1998,6.467390398927983,6.467390398927983,
32,1999,6.531724087434433,6.531724087434433,
33,2000,6.268972225861856,6.268972225861856,
34,2001,6.4123286933316335,6.4123286933316335,
35,2002,6.301961281327825,6.301961281327825,
36,2003,6.268569683297241,6.268569683297241,
37,2004,6.230370712428546,6.230370712428546,
38,2005,5.9227595689328085,5.9227595689328085,
39,2006,6.083241540245586,6.083241540245586,
40,2007,6.2879438017355245,6.2879438017355245,
41,2008,6.222688906169491,6.222688906169491,
42,2009,6.173980202134531,6.173980202134531,
43,2010,6.130439872872934,6.130439872872934,
44,2011,5.978113246016845,5.978113246016845,
45,2012,5.957499484229177,5.957499484229177,
46,2013,5.479951130828513,5.479951130828513,
47,2014,5.54192390586375,5.54192390586375,
48,2015,5.145433252816291,5.145433252816291,
49,2016,5.038129163161827,5.038129163161827,
50,2017,4.74135388491468,4.74135388491468,
51,2018,4.896802439051518,4.896802439051518,
52,2019,5.178496070791633,5.178496070791633,
