,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,3.0490413918480983,,3.0490413918480983
14,1981,3.267556943200299,,3.267556943200299
15,1982,3.0546195324478447,,3.0546195324478447
16,1983,3.3093761603366523,,3.3093761603366523
17,1984,3.6141537055528286,,3.6141537055528286
18,1985,3.9106119950013842,,3.9106119950013842
19,1986,4.174917203751491,,4.174917203751491
20,1987,4.1653638325563005,,4.1653638325563005
21,1988,4.314752613041332,,4.314752613041332
22,1989,4.503899340038489,,4.503899340038489
23,1990,4.831033775197655,,4.831033775197655
24,1991,4.513408438947112,,4.513408438947112
25,1992,5.582278947606951,,5.582278947606951
26,1993,4.897128704583735,,4.897128704583735
27,1994,4.104364281522115,,4.104364281522115
28,1995,3.8340741906756164,,3.8340741906756164
29,1996,4.730368186034851,,4.730368186034851
30,1997,4.586038363650261,,4.586038363650261
31,1998,4.758195321045289,,4.758195321045289
32,1999,4.704573308784832,,4.704573308784832
33,2000,5.1535384470315355,,5.1535384470315355
34,2001,5.178842496750514,,5.178842496750514
35,2002,5.82655336581112,,5.82655336581112
36,2003,5.609558038488213,,5.609558038488213
37,2004,6.124099488242794,,6.124099488242794
38,2005,6.051810841095994,,6.051810841095994
39,2006,6.357534219231321,,6.357534219231321
40,2007,5.856545191358893,,5.856545191358893
41,2008,6.191323237297121,,6.191323237297121
42,2009,6.579622349367557,,6.579622349367557
43,2010,6.5792588049463046,,6.5792588049463046
44,2011,6.607290693993731,,6.607290693993731
45,2012,7.199847378654546,,7.199847378654546
46,2013,6.977759187297775,,6.977759187297775
47,2014,7.182521442855567,,7.182521442855567
48,2015,7.112938540232648,,7.112938540232648
49,2016,7.6377125268669115,,7.6377125268669115
50,2017,7.483284468015554,,7.483284468015554
51,2018,7.195069406096421,,7.195069406096421
52,2019,7.112445147164147,,7.112445147164147
