,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,,,
19,1986,,,
20,1987,,,
21,1988,,,
22,1989,,,
23,1990,,,
24,1991,,,
25,1992,,,
26,1993,,,
27,1994,,,
28,1995,,,
29,1996,,,
30,1997,0.7949668757694789,0.7949668757694789,
31,1998,0.7873458522716984,0.7873458522716984,
32,1999,0.7799638375194687,0.7799638375194687,
33,2000,0.7729943162703403,0.7729943162703403,
34,2001,0.7666214014776731,0.7666214014776731,
35,2002,0.7603459562183834,0.7603459562183834,
36,2003,0.8695612995279743,0.8695612995279743,
37,2004,0.8488558156036736,0.8488558156036736,
38,2005,0.7410586970907256,0.7410586970907256,
39,2006,0.6468887629073449,0.6468887629073449,
40,2007,0.679081479154016,0.679081479154016,
41,2008,0.6986361381659448,0.6986361381659448,
42,2009,0.7076877061101268,0.7076877061101268,
43,2010,0.931624854991747,0.931624854991747,
44,2011,0.8747203289139958,0.8747203289139958,
45,2012,1.1032985610394144,1.1032985610394144,
46,2013,1.2717669230521929,1.2717669230521929,
47,2014,1.5381021660318566,1.5381021660318566,
48,2015,1.3039689082074488,1.3039689082074488,
49,2016,1.0947542670403805,1.0947542670403805,
50,2017,1.0981499246288065,1.0981499246288065,
51,2018,1.225124351220665,1.225124351220665,
52,2019,1.2266585420285046,1.2266585420285046,
