,Year,Total,Fresh,Processed
4,1971,8.318139067037144,2.785308748392813,5.53283031864433
5,1972,8.376895597819873,2.9671837481419376,5.409711849677935
6,1973,8.402564157256181,2.7450462226710526,5.657517934585129
7,1974,8.696968140881161,2.956690078277703,5.7402780626034575
8,1975,8.923690483532663,2.8049802521611493,6.118710231371514
9,1976,9.210637912261792,3.0829912628706397,6.127646649391152
10,1977,9.270807678930616,3.495293749063518,5.775513929867099
11,1978,9.85597086955545,3.807084933845497,6.048885935709953
12,1979,9.682021767123592,3.833729532780876,5.848292234342716
13,1980,9.259197015711864,3.8620974328798643,5.397099582831999
14,1981,9.343279648295836,3.9997216979901378,5.343557950305698
15,1982,9.292911657220298,4.185832170482541,5.107079486737757
16,1983,9.692420547970542,4.53678293862326,5.1556376093472815
17,1984,9.880250545805339,4.652884729297477,5.227365816507861
18,1985,10.219800088901561,4.393917791215519,5.825882297686042
19,1986,9.950881101678364,4.624954810077665,5.325926291600699
20,1987,10.601883955783267,5.066638111398494,5.5352458443847725
21,1988,10.103129446047483,4.824484431946649,5.2786450141008325
22,1989,9.974036920539172,4.783659871756515,5.190377048782657
23,1990,9.668220659459806,4.674195288887468,4.994025370572339
24,1991,9.613799688606786,4.557888174426908,5.055911514179878
25,1992,9.473190044111579,4.927854550904264,4.545335493207316
26,1993,9.539282435611227,5.211782813010316,4.327499622600911
27,1994,10.142107945125193,5.362692217464584,4.779415727660609
28,1995,10.654942582637107,5.608946067820391,5.045996514816716
29,1996,10.006671831792545,5.930337909347455,4.07633392244509
30,1997,11.658627574983878,6.4228596983643085,5.235767876619571
31,1998,10.502960622378357,6.490303272187313,4.012657350191043
32,1999,10.931359064215254,6.729207812527972,4.202151251687283
33,2000,11.243317243253005,6.351313412539618,4.892003830713387
34,2001,10.001274596201952,6.267731981511598,3.7335426146903554
35,2002,12.027468974739602,6.623385781073608,5.404083193665994
36,2003,10.602224853415503,6.157652117119437,4.444572736296065
37,2004,11.313241150790343,6.429887098103975,4.88335405268637
38,2005,10.035094774646772,6.193473139209153,3.8416216354376203
39,2006,9.130387215005426,6.140421489162933,2.989965725842493
40,2007,10.15634916177011,6.422974497380443,3.733374664389668
41,2008,9.931792146381879,6.387755325407394,3.544036820974485
42,2009,11.864445643324089,6.80371641428425,5.060729229039838
43,2010,10.474462008640785,6.7314380520787465,3.7430239565620376
44,2011,9.210054825067225,6.381821932371693,2.828232892695532
45,2012,10.099193716768369,7.123874198823485,2.9753195179448837
46,2013,10.542378514566623,7.32434873399214,3.218029780574484
47,2014,11.30530476207195,7.432549718655952,3.8727550434159976
48,2015,10.97780164743368,7.563493024400426,3.4143086230332544
49,2016,11.11199840306634,8.119849730611223,2.9921486724551163
50,2017,11.089127829866115,7.429599175836746,3.6595286540293688
51,2018,11.32907258776673,7.994405045475101,3.334667542291629
52,2019,10.871887928352798,7.831652071173798,3.0402358571790016
