,Year,Total,Fresh,Processed
4,1971,6.756208808044325,,6.756208808044325
5,1972,5.7655331211647685,,5.7655331211647685
6,1973,7.439298683252536,,7.439298683252536
7,1974,5.4818198506561435,,5.4818198506561435
8,1975,6.80166636147365,,6.80166636147365
9,1976,6.270011493772465,,6.270011493772465
10,1977,6.669621239070015,,6.669621239070015
11,1978,5.063209602738402,,5.063209602738402
12,1979,5.604871950199536,,5.604871950199536
13,1980,5.396165306887552,,5.396165306887552
14,1981,5.421176276657324,,5.421176276657324
15,1982,7.346800013083558,,7.346800013083558
16,1983,6.2475874517584735,,6.2475874517584735
17,1984,5.407310203640475,,5.407310203640475
18,1985,6.911903580810263,,6.911903580810263
19,1986,6.358160669915673,,6.358160669915673
20,1987,5.383463156510432,,5.383463156510432
21,1988,6.846721474188211,,6.846721474188211
22,1989,5.419617184765569,,5.419617184765569
23,1990,6.729751917897563,,6.729751917897563
24,1991,7.347225197005907,,7.347225197005907
25,1992,7.818735717216896,,7.818735717216896
26,1993,7.226340614099811,,7.226340614099811
27,1994,7.708408928979403,,7.708408928979403
28,1995,7.50582285740552,,7.50582285740552
29,1996,7.434728620352294,,7.434728620352294
30,1997,7.396600487825135,,7.396600487825135
31,1998,7.259309909518376,,7.259309909518376
32,1999,7.801910152347877,,7.801910152347877
33,2000,7.683257704835597,,7.683257704835597
34,2001,7.041683947888096,,7.041683947888096
35,2002,6.812782081554777,,6.812782081554777
36,2003,6.7708102123875165,,6.7708102123875165
37,2004,5.988817405801686,,5.988817405801686
38,2005,6.122342369707036,,6.122342369707036
39,2006,6.446809663780421,,6.446809663780421
40,2007,6.366162737087945,,6.366162737087945
41,2008,6.449531882388073,,6.449531882388073
42,2009,5.7529238242153,,5.7529238242153
43,2010,7.170152110174506,,7.170152110174506
44,2011,5.27712687901207,,5.27712687901207
45,2012,5.436648715810435,,5.436648715810435
46,2013,5.162782739610684,,5.162782739610684
47,2014,6.0056708299129795,,6.0056708299129795
48,2015,7.116419741038185,,7.116419741038185
49,2016,6.691587814584869,,6.691587814584869
50,2017,7.524583941762587,,7.524583941762587
51,2018,8.612768211515888,,8.612768211515888
52,2019,5.672469766942659,,5.672469766942659
