,Year,Total,Fresh,Processed
4,1971,0.32264122777026016,0.32264122777026016,
5,1972,0.3868582536113123,0.3868582536113123,
6,1973,0.43367671972403254,0.43367671972403254,
7,1974,0.40635199715693887,0.40635199715693887,
8,1975,0.4454260486264486,0.4454260486264486,
9,1976,0.4591006031141789,0.4591006031141789,
10,1977,0.4377063099632672,0.4377063099632672,
11,1978,0.4888020306849069,0.4888020306849069,
12,1979,0.47588367287996264,0.47588367287996264,
13,1980,0.47732801700288946,0.47732801700288946,
14,1981,0.45832862249202055,0.45832862249202055,
15,1982,0.513807776457009,0.513807776457009,
16,1983,0.5125753818707934,0.5125753818707934,
17,1984,0.46880024370843,0.46880024370843,
18,1985,0.4579269162060839,0.4579269162060839,
19,1986,0.4666508761650689,0.4666508761650689,
20,1987,0.47280934416236964,0.47280934416236964,
21,1988,0.390170638435073,0.390170638435073,
22,1989,0.399042621148046,0.399042621148046,
23,1990,0.39938912254329717,0.39938912254329717,
24,1991,0.411451203780775,0.411451203780775,
25,1992,0.4698435930773004,0.4698435930773004,
26,1993,0.47146068279187714,0.47146068279187714,
27,1994,0.5162544223264854,0.5162544223264854,
28,1995,0.4726943955701782,0.4726943955701782,
29,1996,0.598886775170859,0.598886775170859,
30,1997,0.6501637890602099,0.6501637890602099,
31,1998,0.6997519149629684,0.6997519149629684,
32,1999,0.6660197998532018,0.6660197998532018,
33,2000,0.806991037059334,0.806991037059334,
34,2001,0.8323920212280428,0.8323920212280428,
35,2002,0.7190653194838275,0.7190653194838275,
36,2003,0.7254644677807414,0.7254644677807414,
37,2004,0.7247367331612652,0.7247367331612652,
38,2005,0.849862490425649,0.849862490425649,
39,2006,0.8510839883647162,0.8510839883647162,
40,2007,0.8551308530603569,0.8551308530603569,
41,2008,0.7765337268821109,0.7765337268821109,
42,2009,0.8052444768693108,0.8052444768693108,
43,2010,0.742108628987112,0.742108628987112,
44,2011,0.7123275698806775,0.7123275698806775,
45,2012,0.8061088419663136,0.8061088419663136,
46,2013,0.8485239669845395,0.8485239669845395,
47,2014,0.8471599772555845,0.8471599772555845,
48,2015,0.84738844138681,0.84738844138681,
49,2016,0.864301122164204,0.864301122164204,
50,2017,0.9702209750667907,0.9702209750667907,
51,2018,0.8091917777459063,0.8091917777459063,
52,2019,0.8041198356266506,0.8041198356266506,
