,Year,Total,Fresh,Processed
4,1971,0.5653444797049036,0.5653444797049036,
5,1972,0.5707588520028967,0.5707588520028967,
6,1973,0.5766626240508897,0.5766626240508897,
7,1974,0.534009183835701,0.534009183835701,
8,1975,0.5130270913493816,0.5130270913493816,
9,1976,0.5173481321806132,0.5173481321806132,
10,1977,0.47176022412016044,0.47176022412016044,
11,1978,0.4793674326661725,0.4793674326661725,
12,1979,0.49276843438270646,0.49276843438270646,
13,1980,0.45141968857310977,0.45141968857310977,
14,1981,0.44310898132767446,0.44310898132767446,
15,1982,0.3772804796113494,0.3772804796113494,
16,1983,0.3947812058538584,0.3947812058538584,
17,1984,0.3871409954812395,0.3871409954812395,
18,1985,0.3891540093765987,0.3891540093765987,
19,1986,0.36609031335834885,0.36609031335834885,
20,1987,0.3414276535806659,0.3414276535806659,
21,1988,0.3575203758045229,0.3575203758045229,
22,1989,0.33022532170031776,0.33022532170031776,
23,1990,0.2623284671293557,0.2623284671293557,
24,1991,0.24675195307168252,0.24675195307168252,
25,1992,0.32000232722445837,0.32000232722445837,
26,1993,0.3004978469577914,0.3004978469577914,
27,1994,0.32882629803823327,0.32882629803823327,
28,1995,0.30408033730121514,0.30408033730121514,
29,1996,0.31911182046746545,0.31911182046746545,
30,1997,0.2994323739520432,0.2994323739520432,
31,1998,0.30421735472538614,0.30421735472538614,
32,1999,0.22510255955172842,0.22510255955172842,
33,2000,0.34464439414274833,0.34464439414274833,
34,2001,0.35020843445541416,0.35020843445541416,
35,2002,0.30973659958022637,0.30973659958022637,
36,2003,0.3236611243379805,0.3236611243379805,
37,2004,0.31173439632640804,0.31173439632640804,
38,2005,0.2528249959815821,0.2528249959815821,
39,2006,0.3125439489330662,0.3125439489330662,
40,2007,0.26642274102502583,0.26642274102502583,
41,2008,0.21427060690241212,0.21427060690241212,
42,2009,0.17922306941155958,0.17922306941155958,
43,2010,0.1777564345710656,0.1777564345710656,
44,2011,0.2771477268829629,0.2771477268829629,
45,2012,0.2574914512756933,0.2574914512756933,
46,2013,0.19124081090054693,0.19124081090054693,
47,2014,0.17285050754666834,0.17285050754666834,
48,2015,0.08550485544788824,0.08550485544788824,
49,2016,0.03820019970613749,0.03820019970613749,
50,2017,0.189312037115775,0.189312037115775,
51,2018,0.17337408961209733,0.17337408961209733,
52,2019,0.17159406084457524,0.17159406084457524,
