,Year,Total,Fresh,Processed
4,1971,0.29922806882370784,0.29922806882370784,
5,1972,0.3857815299005222,0.3857815299005222,
6,1973,0.5224223605415532,0.5224223605415532,
7,1974,0.653529978396476,0.653529978396476,
8,1975,0.7222754696188874,0.7222754696188874,
9,1976,0.4799779851858647,0.4799779851858647,
10,1977,0.5953169057251441,0.5953169057251441,
11,1978,0.6239414156389694,0.6239414156389694,
12,1979,0.9211437204238965,0.9211437204238965,
13,1980,0.860894232542617,0.860894232542617,
14,1981,0.6592278858613881,0.6592278858613881,
15,1982,0.7571795269350698,0.7571795269350698,
16,1983,0.9974605965677509,0.9974605965677509,
17,1984,0.7688831722713965,0.7688831722713965,
18,1985,1.061618847131247,1.061618847131247,
19,1986,0.7660470972487128,0.7660470972487128,
20,1987,1.1875010296370734,1.1875010296370734,
21,1988,1.0862824002840572,1.0862824002840572,
22,1989,1.0146194338203782,1.0146194338203782,
23,1990,1.4071458699446693,1.4071458699446693,
24,1991,1.4871593541636259,1.4871593541636259,
25,1992,1.4605521219257747,1.4605521219257747,
26,1993,1.7456096953949012,1.7456096953949012,
27,1994,1.7971355618746112,1.7971355618746112,
28,1995,1.8497980983767075,1.8497980983767075,
29,1996,2.294634068017222,2.294634068017222,
30,1997,1.9951143018372224,1.9951143018372224,
31,1998,2.5842584823099073,2.5842584823099073,
32,1999,3.2924124016792278,3.2924124016792278,
33,2000,2.2202978063530288,2.2202978063530288,
34,2001,2.4156995048095555,2.4156995048095555,
35,2002,2.499925115434897,2.499925115434897,
36,2003,2.827175291710187,2.827175291710187,
37,2004,2.5670262212686064,2.5670262212686064,
38,2005,2.4365965830091163,2.4365965830091163,
39,2006,2.6943021960958817,2.6943021960958817,
40,2007,2.7199912352626865,2.7199912352626865,
41,2008,2.7649057587007673,2.7649057587007673,
42,2009,2.4464704813767435,2.4464704813767435,
43,2010,2.3436969997985835,2.3436969997985835,
44,2011,2.320221560741133,2.320221560741133,
45,2012,2.2962351142413375,2.2962351142413375,
46,2013,2.259888377006403,2.259888377006403,
47,2014,2.2409841955803174,2.2409841955803174,
48,2015,2.382017552830724,2.382017552830724,
49,2016,2.894350710180913,2.894350710180913,
50,2017,2.969045977855313,2.969045977855313,
51,2018,2.3775628844958256,2.3775628844958256,
52,2019,1.815999005848969,1.815999005848969,
