,Year,Total,Fresh,Processed
4,1971,5.22178790850182,,5.22178790850182
5,1972,5.129104943199138,,5.129104943199138
6,1973,5.340260675335484,,5.340260675335484
7,1974,4.799543723106296,,4.799543723106296
8,1975,4.7010363529222765,,4.7010363529222765
9,1976,4.73981937840725,,4.73981937840725
10,1977,4.800858967700454,,4.800858967700454
11,1978,4.654489501976923,,4.654489501976923
12,1979,4.483705059960268,,4.483705059960268
13,1979,4.466644626419704,,4.466644626419704
14,1981,4.434239964878882,,4.434239964878882
15,1982,4.138007707671299,,4.138007707671299
16,1983,4.211323431744509,,4.211323431744509
17,1984,4.027444936669384,,4.027444936669384
18,1985,4.143326834391734,,4.143326834391734
19,1986,4.079912782169145,,4.079912782169145
20,1987,3.731168802820381,,3.731168802820381
21,1988,3.6565375212736875,,3.6565375212736875
22,1989,3.71007897794956,,3.71007897794956
23,1990,4.162093178789599,,4.162093178789599
24,1991,4.154466513091091,,4.154466513091091
25,1992,4.092154654289318,,4.092154654289318
26,1993,3.450103119021729,,3.450103119021729
27,1994,3.572248695523771,,3.572248695523771
28,1995,3.637521921855363,,3.637521921855363
29,1996,3.3963849785809908,,3.3963849785809908
30,1997,3.4983958113970806,,3.4983958113970806
31,1998,3.340447634510982,,3.340447634510982
32,1999,3.4496217208614546,,3.4496217208614546
33,2000,3.6744590452821506,,3.6744590452821506
34,2001,3.3350568548272923,,3.3350568548272923
35,2002,2.796034928912574,,2.796034928912574
36,2003,3.1347380373740514,,3.1347380373740514
37,2004,2.8203082261987995,,2.8203082261987995
38,2005,2.6831304434336,,2.6831304434336
39,2006,2.753157258098838,,2.753157258098838
40,2007,3.0304287964582928,,3.0304287964582928
41,2008,2.9324091827059577,,2.9324091827059577
42,2009,3.0003490757418607,,3.0003490757418607
43,2010,2.647504996359342,,2.647504996359342
44,2011,2.3545612974525048,,2.3545612974525048
45,2012,2.6870704033555115,,2.6870704033555115
46,2013,2.3843619124011903,,2.3843619124011903
47,2014,2.306357937282318,,2.306357937282318
48,2015,2.3219049679033836,,2.3219049679033836
49,2016,1.762163971555162,,1.762163971555162
50,2017,1.9503398419592306,,1.9503398419592306
51,2018,1.882022353139257,,1.882022353139257
52,2019,1.5382750907244698,,1.5382750907244698
