,Year,Total,Fresh,Processed
4,1971,22.38455945025787,22.38455945025787,
5,1972,22.439207988718223,22.439207988718223,
6,1973,23.122661142282773,23.122661142282773,
7,1974,23.501080176194975,23.501080176194975,
8,1975,23.537201409435436,23.537201409435436,
9,1976,24.226385672025135,24.226385672025135,
10,1977,25.824218235644008,25.824218235644008,
11,1978,25.069074735494304,25.069074735494304,
12,1979,25.098309302170577,25.098309302170577,
13,1980,25.63124105284421,25.63124105284421,
14,1981,24.910638964020766,24.910638964020766,
15,1982,24.936258549106757,24.936258549106757,
16,1983,22.44277806467583,22.44277806467583,
17,1984,24.940765312166807,24.940765312166807,
18,1985,23.672137747100216,23.672137747100216,
19,1986,21.93716211443127,21.93716211443127,
20,1987,25.708802161414145,25.708802161414145,
21,1988,27.040131254055776,27.040131254055776,
22,1989,28.68538299197063,28.68538299197063,
23,1990,27.746878624086484,27.746878624086484,
24,1991,26.04484363276304,26.04484363276304,
25,1992,25.790597725131764,25.790597725131764,
26,1993,24.40003546905919,24.40003546905919,
27,1994,25.00661990008959,25.00661990008959,
28,1995,22.16710316367606,22.16710316367606,
29,1996,21.57493626583898,21.57493626583898,
30,1997,23.90161923257314,23.90161923257314,
31,1998,22.324952411133044,22.324952411133044,
32,1999,24.90906368177017,24.90906368177017,
33,2000,23.460628120402998,23.460628120402998,
34,2001,22.988083123478127,22.988083123478127,
35,2002,22.5425641716967,22.5425641716967,
36,2003,22.231501450001826,22.231501450001826,
37,2004,21.258023252865602,21.258023252865602,
38,2005,20.913060281171223,20.913060281171223,
39,2006,20.053725716036332,20.053725716036332,
40,2007,18.375639519205308,18.375639519205308,
41,2008,16.849552196218397,16.849552196218397,
42,2009,16.106266566231913,16.106266566231913,
43,2010,15.926641771486581,15.926641771486581,
44,2011,15.794521171928178,15.794521171928178,
45,2012,15.948869914085213,15.948869914085213,
46,2013,14.09683705119477,14.09683705119477,
47,2014,14.489312563533229,14.489312563533229,
48,2015,13.565084536009882,13.565084536009882,
49,2016,16.741939614713917,16.741939614713917,
50,2017,15.210194756405594,15.210194756405594,
51,2018,12.264152429161573,12.264152429161573,
52,2019,12.840690062061523,12.840690062061523,
