,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,,,
19,1986,,,
20,1987,,,
21,1988,,,
22,1989,,,
23,1990,,,
24,1991,,,
25,1992,,,
26,1993,,,
27,1994,,,
28,1995,,,
29,1996,,,
30,1997,0.42355411268101084,0.42355411268101084,
31,1998,0.40420875359904396,0.40420875359904396,
32,1999,0.3853387994772553,0.3853387994772553,
33,2000,0.3847169644279973,0.3847169644279973,
34,2001,0.3668071916086187,0.3668071916086187,
35,2002,0.3457138760287352,0.3457138760287352,
36,2003,0.3092021405038057,0.3092021405038057,
37,2004,0.32169488880408176,0.32169488880408176,
38,2005,0.35131376043959234,0.35131376043959234,
39,2006,0.3147784153842283,0.3147784153842283,
40,2007,0.33710207363524586,0.33710207363524586,
41,2008,0.374611080777154,0.374611080777154,
42,2009,0.40596115385416787,0.40596115385416787,
43,2010,0.4569558884443468,0.4569558884443468,
44,2011,0.5132970529922789,0.5132970529922789,
45,2012,0.46432683118308066,0.46432683118308066,
46,2013,0.5579922284687232,0.5579922284687232,
47,2014,0.5155308905923007,0.5155308905923007,
48,2015,0.5811947832042074,0.5811947832042074,
49,2016,0.5344493904103219,0.5344493904103219,
50,2017,1.0323404314899491,1.0323404314899491,
51,2018,0.94945163628746,0.94945163628746,
52,2019,0.7734300269939358,0.7734300269939358,
