,Year,Total,Fresh,Processed
4,1971,0.8793369963546356,,0.8793369963546356
5,1972,0.8645662613865915,,0.8645662613865915
6,1973,0.9195739680712004,,0.9195739680712004
7,1974,0.7987552255276964,,0.7987552255276964
8,1975,0.8141017627203401,,0.8141017627203401
9,1976,0.6791294975577316,,0.6791294975577316
10,1977,0.5928559428620725,,0.5928559428620725
11,1978,0.702684367769616,,0.702684367769616
12,1979,0.7391482082157694,,0.7391482082157694
13,1980,0.6502024362611208,,0.6502024362611208
14,1981,0.690223772209805,,0.690223772209805
15,1982,0.5705101121030136,,0.5705101121030136
16,1983,0.46527075030226184,,0.46527075030226184
17,1984,0.6823540613541661,,0.6823540613541661
18,1985,0.5724979674850184,,0.5724979674850184
19,1986,0.5954573034402767,,0.5954573034402767
20,1987,0.5388723315246768,,0.5388723315246768
21,1988,0.43213750870745926,,0.43213750870745926
22,1989,0.3936550306745287,0.0006439828253996491,0.3930110478491291
23,1990,0.3405325840620103,0.0010184902371547823,0.33951409382485553
24,1991,0.4088553278148289,8.33869179819561e-05,0.408771940896847
25,1992,0.4976127161397308,0.04787967021417394,0.44973304592555685
26,1993,0.45116440164454086,0.03765537645770494,0.4135090251868359
27,1994,0.5088118220364718,0.05731942483183772,0.4514923972046341
28,1995,0.5986281684592788,0.06265076512715853,0.5359774033321203
29,1996,0.6000114392936473,0.03708277245639993,0.5629286668372474
30,1997,0.5676491913144165,0.02931347833733951,0.5383357129770769
31,1998,0.5446209054198432,0.015935389239990584,0.5286855161798526
32,1999,0.5234078789452014,0.024490073220071965,0.49891780572512934
33,2000,0.5631281155756306,0.04908984424393798,0.5140382713316926
34,2001,0.46025062793405763,0.05337265556263401,0.40687797237142365
35,2002,0.5488155572948454,0.06908444689737886,0.4797311103974665
36,2003,0.4982128832714048,0.06020619886026912,0.43800668441113566
37,2004,0.358096566354652,0.06613454086242537,0.2919620254922266
38,2005,0.3589059612078639,0.033755365577174595,0.3251505956306893
39,2006,0.4310741287106601,0.03541121017325242,0.39566291853740765
40,2007,0.39943968226743237,0.02789918449965005,0.3715404977677823
41,2008,0.3785543915954061,0.020823309131854154,0.35773108246355195
42,2009,0.296134002366193,0.01819659058279601,0.27793741178339704
43,2010,0.4392735666941692,0.011785908608263989,0.4274876580859052
44,2011,0.31761696319356336,0.004923721508391584,0.31269324168517176
45,2012,0.4137543991270127,0.002838898609231561,0.4109155005177811
46,2013,0.355277710238456,0.002335935890754666,0.35294177434770135
47,2014,0.33202601426896383,0.0020301705442851057,0.3299958437246787
48,2015,0.3506071630095547,0.0010766804052079046,0.34953048260434677
49,2016,0.25746115122577073,0.003568863048033243,0.2538922881777375
50,2017,0.23988620411282327,0.00451397208951325,0.23537223202331
51,2018,0.27880872177133625,0.0036,0.27520872177133626
52,2019,0.23562191772750166,0.003,0.23262191772750165
