,Year,Total,Fresh,Processed
4,1971,1.4686631212887353,0.32161711855705055,1.1470460027316849
5,1972,1.6273591904919178,0.3683711713264119,1.2589880191655058
6,1973,1.7134417138659146,0.4848377846766358,1.2286039291892787
7,1974,1.8218680142017172,0.5935979561550166,1.2282700580467005
8,1975,1.9069654912506804,0.6612401189218866,1.2457253723287938
9,1976,2.1563278748934795,0.69668578272185,1.4596420921716298
10,1977,2.506914959918605,0.8717988493423184,1.6351161105762868
11,1978,2.7145095120486555,1.0355050501857983,1.6790044618628575
12,1979,2.896742778013535,1.1433965380921538,1.7533462399213813
13,1980,2.7544962698332096,1.2101056387474556,1.5443906310857538
14,1981,2.9403277381987185,1.391825270707662,1.5485024674910566
15,1982,2.9815470939664386,1.455793257396488,1.5257538365699506
16,1983,3.482679265564327,1.6612988702308398,1.8213803953334875
17,1984,3.5564437316141646,1.7801438239480003,1.776299907666164
18,1985,3.61874189573332,1.7928632152542658,1.825878680479054
19,1986,3.7975818821973144,1.9004418706549044,1.8971400115424097
20,1987,3.601095484581279,1.9430602149025578,1.6580352696787215
21,1988,3.55889939851054,2.00089045929806,1.5580089392124798
22,1989,3.607879253877526,2.0636068904331015,1.5442723634444246
23,1990,3.7377346310260235,2.0173063871406223,1.7204282438854013
24,1991,3.7047522256939365,1.9504654588330572,1.754286766860879
25,1992,3.7156492650691577,2.011393463172083,1.7042558018970748
26,1993,3.749170647860322,1.9981806140815457,1.7509900337787763
27,1994,4.084622748046152,2.044790921964424,2.039831826081728
28,1995,3.8037328276117934,2.04741664550037,1.7563161821114233
29,1996,3.9498886369377697,2.103559019507665,1.8463296174301045
30,1997,4.014639467459389,2.3412297835347875,1.673409683924602
31,1998,3.889500469221996,2.477006034861957,1.4124944343600387
32,1999,4.09389531976133,2.5051204677634185,1.588774851997912
33,2000,4.102366202049143,2.6040477984240646,1.498318403625078
34,2001,3.952302291377778,2.5942735318471404,1.3580287595306375
35,2002,4.131991158160069,2.6319975297743046,1.4999936283857642
36,2003,4.18257229024969,2.6560345150852855,1.5265377751644036
37,2004,4.186930068517096,2.6197138140281715,1.5672162544889252
38,2005,3.9656846821406306,2.649309129301166,1.316375552839465
39,2006,4.068180555944479,2.580862518426511,1.4873180375179682
40,2007,3.9259926990924425,2.481341113851911,1.4446515852405315
41,2008,3.6514083210304165,2.462283793990566,1.1891245270398505
42,2009,3.5833095589106296,2.436209562274294,1.1470999966363356
43,2010,3.862472700412417,2.601842819453736,1.260629880958681
44,2011,4.024200032317546,2.7642003693909056,1.2599996629266408
45,2012,3.834513084727526,2.742154337568587,1.092358747158939
46,2013,3.7969672583049228,2.7511723364336964,1.0457949218712266
47,2014,3.9771956762521006,2.9166873954390025,1.0605082808130983
48,2015,4.035593917906574,2.987426085942131,1.0481678319644434
49,2016,3.9844422034074665,2.9612089904392693,1.0232332129681974
50,2017,3.9567515967599007,2.9648830590178044,0.9918685377420963
51,2018,3.7816354444025784,2.7890253991602973,0.9926100452422811
52,2019,3.7673675027938014,2.8071408316557958,0.9602266711380055
