,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,,,
19,1986,,,
20,1987,,,
21,1988,,,
22,1989,,,
23,1990,,,
24,1991,,,
25,1992,,,
26,1993,,,
27,1994,,,
28,1995,,,
29,1996,,,
30,1997,0.681843231517852,0.681843231517852,
31,1998,0.6850316715861144,0.6850316715861144,
32,1999,0.6882036556329328,0.6882036556329328,
33,2000,0.7349308213963206,0.7349308213963206,
34,2001,0.781100579228447,0.781100579228447,
35,2002,0.6986975599045113,0.6986975599045113,
36,2003,0.7990415674956105,0.7990415674956105,
37,2004,0.7799841522181916,0.7799841522181916,
38,2005,0.6809296374617388,0.6809296374617388,
39,2006,0.5108466063029478,0.5108466063029478,
40,2007,0.3951809229900375,0.3951809229900375,
41,2008,0.32413672050125947,0.32413672050125947,
42,2009,0.30945401969713665,0.30945401969713665,
43,2010,0.30923240726120116,0.30923240726120116,
44,2011,0.2979214815590853,0.2979214815590853,
45,2012,0.2380025077785615,0.2380025077785615,
46,2013,0.26523851277808796,0.26523851277808796,
47,2014,0.5530809136314752,0.5530809136314752,
48,2015,0.4522651813015995,0.4522651813015995,
49,2016,0.44581229922360077,0.44581229922360077,
50,2017,0.7294582862849539,0.7294582862849539,
51,2018,0.7360104123885984,0.7360104123885984,
52,2019,0.7452802076576689,0.7452802076576689,
