,Year,Total,Fresh,Processed
4,1971,12.217195380933347,10.725653830040306,1.4915415508930416
5,1972,11.573486869687848,10.697678850478335,0.8758080192095135
6,1973,11.39528948746868,10.24071653398393,1.1545729534847509
7,1974,12.72902087405426,11.185668727262524,1.5433521467917364
8,1975,12.468142545595978,10.50362776828585,1.9645147773101264
9,1976,11.765056390029123,11.006031141789162,0.7590252482399613
10,1977,12.403955793478904,11.067522100990288,1.336433692488615
11,1978,12.222690043623784,10.917177707392682,1.3055123362311025
12,1979,13.371100424162982,11.443869276399102,1.9272311477638797
13,1980,12.153430346908124,11.382582577307815,0.7708477696003093
14,1981,11.555421109033508,10.734069384169834,0.8213517248636756
15,1982,14.248444141213152,12.244086688373212,2.00435745283994
16,1983,13.822349865518314,12.165419727110157,1.6569301384081567
17,1984,14.559912102916039,13.076552371926143,1.4833597309898963
18,1985,15.196879569330637,13.623879295161574,1.5730002741690636
19,1986,15.626682003066682,13.736020211842046,1.8906617912246364
20,1987,14.930303872176736,13.4111093721685,1.5191945000082367
21,1988,16.216549915639884,14.548695826072052,1.667854089567833
22,1989,16.37641980258104,14.762959788471024,1.613460014110018
23,1990,17.19414103610574,15.060257612913185,2.1338834231925543
24,1991,17.258600242323457,15.686790773659627,1.5718094686638289
25,1992,17.536575423394865,16.10070764867066,1.4358677747242052
26,1993,19.166145427076902,17.17351824519759,1.9926271818793113
27,1994,17.86298950581508,16.91777588019064,0.94521362562444
28,1995,19.102665686129793,17.781475840543294,1.3211898455864977
29,1996,19.164960970978285,18.32287712375189,0.8420838472263944
30,1997,19.73278540675016,18.83941270448716,0.8933727022630001
31,1998,19.494340124701296,18.400136140383168,1.094203984318129
32,1999,20.732694383644173,18.47830483012549,2.2543895535186804
33,2000,20.431179696032725,18.873766607341754,1.557413088690972
34,2001,19.50500032789106,18.467651748980558,1.0373485789105041
35,2002,20.402903644783837,19.323332153133183,1.0795714916506536
36,2003,21.35495818663873,19.50712921718889,1.8478289694498409
37,2004,23.377555044731718,21.91722494342787,1.460330101303848
38,2005,22.034631045820014,20.897450263443563,1.1371807823764488
39,2006,21.682215180154692,19.91575839738858,1.7664567827661137
40,2007,22.63536140947146,21.61228818446425,1.0230732250072103
41,2008,21.693138938867563,20.18482271990426,1.5083162189633017
42,2009,21.50191388148737,19.5815748116155,1.920339069871869
43,2010,20.921105309461623,19.58298094447136,1.3381243649902632
44,2011,20.4350893499708,19.12530874806806,1.3097806019027374
45,2012,20.59192324175742,19.30522228030629,1.2867009614511333
46,2013,19.44819495827725,18.48950026467948,0.9586946935977667
47,2014,19.833185087039787,18.368122917711368,1.4650621693284187
48,2015,19.618322435603197,18.26400234475546,1.3543200908477346
49,2016,24.26814060769266,22.744705991689433,1.523434616003229
50,2017,25.379375025808926,25.064768319100565,0.3146067067083597
51,2018,22.380628970650378,20.556969378611157,1.8236595920392207
52,2019,20.78538428626855,19.38008178620582,1.4053025000627288
