,Year,Total,Fresh,Processed
4,1971,1.7764529690216262,,1.7764529690216262
5,1972,1.6703510309867744,,1.6703510309867744
6,1973,1.9225233472858632,,1.9225233472858632
7,1974,1.393474052390883,,1.393474052390883
8,1975,1.5853833581049486,,1.5853833581049486
9,1976,1.7469672300318755,,1.7469672300318755
10,1977,1.5219829367187463,,1.5219829367187463
11,1978,1.5144776152930346,,1.5144776152930346
12,1979,1.4147652795983203,,1.4147652795983203
13,1980,1.2690689688485286,,1.2690689688485286
14,1981,1.368898011010323,,1.368898011010323
15,1982,1.5022309507812632,,1.5022309507812632
16,1983,1.5906481667214385,,1.5906481667214385
17,1984,1.3894765346015197,,1.3894765346015197
18,1985,1.5218102370987896,,1.5218102370987896
19,1986,1.6654823790468356,,1.6654823790468356
20,1987,1.6630698011564886,,1.6630698011564886
21,1988,1.9622807840960566,,1.9622807840960566
22,1989,2.0910318506359626,,2.0910318506359626
23,1990,2.5534517774615,0.8871315945180943,1.6663201829434056
24,1991,2.6425121956030346,0.9900010808976971,1.6525111147053375
25,1992,2.307965775767437,0.6983524722258986,1.6096133035415385
26,1993,2.641975024495207,0.7495169353134428,1.8924580891817644
27,1994,2.906629765863436,0.8812030815833829,2.025426684280053
28,1995,2.4759085955349125,0.6860089661873446,1.789899629347568
29,1996,2.6951539491298533,0.8334028857813525,1.8617510633485008
30,1997,3.011952064181861,1.0102149474555904,2.0017371167262707
31,1998,2.8796462633323063,1.042574861923474,1.8370714014088325
32,1999,3.6756107210416697,1.3148783257845644,2.3607323952571053
33,2000,3.697577851635107,1.5482122201864283,1.8649326243838562
34,2001,4.450275762941951,1.7654781323264093,2.154668745695854
35,2002,5.693152343290559,1.6526812751878381,3.1428596560644815
36,2003,5.399714676485701,1.62674989130892,2.624101018296447
37,2004,5.423987967803639,1.9050987230306253,2.601310690924769
38,2005,6.203764929182661,2.151483880667829,3.1286179881784917
39,2006,6.0905657417835855,2.0714146025283124,3.2234385633355256
40,2007,5.970262797064052,2.009639037231428,3.0073549020647965
41,2008,6.04043704538827,1.9608713201800723,2.931800443559688
42,2009,6.227310245790156,1.7501666059914254,3.331184445810437
43,2010,6.978495724727458,1.9791287573526841,3.398458293849216
44,2011,7.286854982857625,1.9124889707496215,3.34722544227177
45,2012,8.5112633554634,1.9562568061493757,3.5328727091929513
46,2013,8.119269401378586,1.93,3.32
47,2014,8.390932771486876,1.84,3.51
48,2015,10.139865099307617,2.17,3.61
49,2016,10.427114407746423,2.33,3.69
50,2017,8.330349617133482,0.76,3.44
51,2018,11.27714862785102,1.14,4.67
52,2019,10.786693665696692,0.93,4.99
