,Year,Total,Fresh,Processed
4,1971,117.78302521898671,56.0695893788434,61.713435840143305
5,1972,119.39670932271221,57.85423257232154,61.542476750390676
6,1973,118.25060002170744,52.41883544351585,65.83176457819158
7,1974,117.21721735389563,49.35047275243858,67.86674460145706
8,1975,121.9669958744843,52.64420552569071,69.32279034879359
9,1976,125.29911711422477,49.447166739284974,75.8519503749398
10,1977,122.12361116786764,50.076907359731926,72.04670380813572
11,1978,119.39074115506435,45.965905159826576,73.42483599523777
12,1979,117.80909964230966,49.3455688609451,68.46353078136455
13,1980,114.71155002063884,51.12158471145148,63.58996530918735
14,1981,116.53981927763235,45.84497273509997,70.69484654253237
15,1982,114.99567867417782,47.111237445518285,67.88444122865954
16,1983,118.57577861523558,49.79236215734059,68.78341645789499
17,1984,122.05694602873729,48.296892717518226,73.76005331121905
18,1985,122.40608355069486,46.303066265211804,76.10301728548305
19,1986,125.9801822556316,48.82032902418855,77.15985323144305
20,1987,125.91956623449369,47.93893428444342,77.98063195005027
21,1988,122.38941739687621,49.6145554870807,72.7748619097955
22,1989,126.99759633515536,50.033223484689216,76.96437285046615
23,1990,123.99974869224252,46.740782644403765,77.25896604783875
24,1991,133.95551060599308,50.20516693423487,83.7503436717582
25,1992,129.79711148316036,48.32912149330074,81.46798998985963
26,1993,136.4892380168796,50.13213911548289,86.35709890139671
27,1994,136.46111594886426,49.62886262545743,86.83225332340683
28,1995,136.62410826179016,49.22196096099521,87.40214730079495
29,1996,144.8890966114816,49.94244168882363,94.94665492265796
30,1997,137.71125694453525,47.30676508574192,90.40449185879332
31,1998,137.55073092924323,46.86408063303333,90.6866502962099
32,1999,136.15683843076462,47.707186654075436,88.4496517766892
33,2000,138.00712871828887,47.1472025877791,90.85992613050976
34,2001,138.73170436627663,46.570394503476955,92.16130986279968
35,2002,131.8363696539334,44.26645345167397,87.56991620225942
36,2003,137.8510683096245,46.778397799407166,91.07267051021734
37,2004,134.61143477174488,45.838528479986344,88.77290629175855
38,2005,125.37005936210078,41.27099648688581,84.09906287521497
39,2006,123.65143572315765,38.57794016354576,85.07349555961189
40,2007,124.34935008823743,38.71129947298001,85.63805061525741
41,2008,118.28555003249019,37.832526016022804,80.45302401646738
42,2009,113.32639677291023,36.64665806633779,76.67973870657244
43,2010,113.82583325710348,36.81228389724787,77.0135493598556
44,2011,110.37691753198627,34.06501126765894,76.31190626432732
45,2012,114.8192855192986,34.5576619570204,80.2616235622782
46,2013,113.49299140997029,34.57175417119929,78.921237238771
47,2014,113.04636425165042,33.61956365617199,79.42680059547843
48,2015,115.37168113217552,34.15590859641337,81.21577253576216
49,2016,110.18098914166386,33.72931888337136,76.4516702582925
50,2017,117.77013406247843,34.85628107976897,82.91385298270947
51,2018,117.54232870142044,33.04572105708799,84.49660764433246
52,2019,112.59605338189272,30.073388076829225,82.5226653050635
