,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,,,
19,1986,,,
20,1987,3.0136900545295795,3.0136900545295795,
21,1988,3.8059172601205624,3.8059172601205624,
22,1989,4.820006305473797,4.820006305473797,
23,1990,4.433463434978331,4.433463434978331,
24,1991,4.4291907455196,4.4291907455196,
25,1992,4.057538341580575,4.057538341580575,
26,1993,5.125577905784712,5.125577905784712,
27,1994,5.491415785298896,5.491415785298896,
28,1995,5.896322927869087,5.896322927869087,
29,1996,5.774851782717206,5.774851782717206,
30,1997,5.648383880210472,5.648383880210472,
31,1998,6.356542120551221,6.356542120551221,
32,1999,5.92051613985929,5.92051613985929,
33,2000,4.598884797719426,4.598884797719426,
34,2001,4.102344395260776,4.102344395260776,
35,2002,4.012741620301538,4.012741620301538,
36,2003,3.760923425495571,3.760923425495571,
37,2004,4.512471111204973,4.512471111204973,
38,2005,4.790842643718745,4.790842643718745,
39,2006,4.677726241776578,4.677726241776578,
40,2007,4.96670316214354,4.96670316214354,
41,2008,4.677400327109119,4.677400327109119,
42,2009,4.00843691230026,4.00843691230026,
43,2010,4.370526163147771,4.370526163147771,
44,2011,4.364739201956367,4.364739201956367,
45,2012,5.0393081430566085,5.0393081430566085,
46,2013,4.6822846174457435,4.6822846174457435,
47,2014,5.333121167299914,5.333121167299914,
48,2015,3.1298155032042363,3.1298155032042363,
49,2016,7.022848711184198,7.022848711184198,
50,2017,6.666214338413302,6.666214338413302,
51,2018,6.500120491120261,6.500120491120261,
52,2019,5.745184010931241,5.745184010931241,
