,Year,Total,Fresh,Processed
4,1971,0.5643813715623058,0.5643813715623058,
5,1972,0.503582726683691,0.503582726683691,
6,1973,0.5596741997744314,0.5596741997744314,
7,1974,0.5064202680333311,0.5064202680333311,
8,1975,0.6338755307376385,0.6338755307376385,
9,1976,0.6012796110716169,0.6012796110716169,
10,1977,0.660645934643728,0.660645934643728,
11,1978,0.5471864313000427,0.5471864313000427,
12,1979,0.5928421395000333,0.5928421395000333,
13,1980,0.565098487094842,0.565098487094842,
14,1981,0.5745082421135298,0.5745082421135298,
15,1982,0.5007834866018916,0.5007834866018916,
16,1983,0.5465946308722317,0.5465946308722317,
17,1984,0.4950474365462792,0.4950474365462792,
18,1985,0.5120549668029823,0.5120549668029823,
19,1986,0.4635645504799897,0.4635645504799897,
20,1987,0.5129569310012191,0.5129569310012191,
21,1988,0.5497986481801153,0.5497986481801153,
22,1989,0.7078750015461993,0.7078750015461993,
23,1990,0.6585647614059776,0.6585647614059776,
24,1991,0.5475898099750288,0.5475898099750288,
25,1992,0.4763765989084992,0.4763765989084992,
26,1993,0.5168008572361722,0.5168008572361722,
27,1994,0.4357545942847599,0.4357545942847599,
28,1995,0.4138361765025866,0.4138361765025866,
29,1996,0.40701950479665666,0.40701950479665666,
30,1997,0.5062452556135312,0.5062452556135312,
31,1998,0.444696351158032,0.444696351158032,
32,1999,0.39181832900696395,0.39181832900696395,
33,2000,0.4806219038369602,0.4806219038369602,
34,2001,0.5075386006847544,0.5075386006847544,
35,2002,0.5129327649008633,0.5129327649008633,
36,2003,0.3500224031349354,0.3500224031349354,
37,2004,0.4850688156201963,0.4850688156201963,
38,2005,0.5015286584971577,0.5015286584971577,
39,2006,0.5235832068745029,0.5235832068745029,
40,2007,0.5190535101063461,0.5190535101063461,
41,2008,0.5100716479310464,0.5100716479310464,
42,2009,0.4576184698016768,0.4576184698016768,
43,2010,0.49620254200498126,0.49620254200498126,
44,2011,0.4149251982020228,0.4149251982020228,
45,2012,0.32608651276471046,0.32608651276471046,
46,2013,0.4728719904934983,0.4728719904934983,
47,2014,0.4992844363742435,0.4992844363742435,
48,2015,0.4904087358624529,0.4904087358624529,
49,2016,0.5157121051468918,0.5157121051468918,
50,2017,0.5348688632745148,0.5348688632745148,
51,2018,0.5438440244434218,0.5438440244434218,
52,2019,0.5377753600094645,0.5377753600094645,
