,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,3.265455033421955,3.265455033421955,
19,1986,2.3735617138511786,2.3735617138511786,
20,1987,2.524670104281643,2.524670104281643,
21,1988,3.2005419943596674,3.2005419943596674,
22,1989,3.563486993717201,3.563486993717201,
23,1990,3.7702632490045245,3.7702632490045245,
24,1991,3.9967136725668952,3.9967136725668952,
25,1992,4.669613338575444,4.669613338575444,
26,1993,5.041706069047665,5.041706069047665,
27,1994,5.67822450614191,5.67822450614191,
28,1995,5.89454533176769,5.89454533176769,
29,1996,5.817609607404689,5.817609607404689,
30,1997,6.594743796535148,6.594743796535148,
31,1998,6.614551013164804,6.614551013164804,
32,1999,7.591576494387654,7.591576494387654,
33,2000,8.385003900632118,8.385003900632118,
34,2001,8.02723748200193,8.02723748200193,
35,2002,9.59394362131077,9.59394362131077,
36,2003,10.82055709113505,10.82055709113505,
37,2004,11.98333284115348,11.98333284115348,
38,2005,9.6658879916613,9.6658879916613,
39,2006,11.980200978425032,11.980200978425032,
40,2007,11.54250450688691,11.54250450688691,
41,2008,10.406753457089865,10.406753457089865,
42,2009,9.995773323215436,9.995773323215436,
43,2010,12.010989303567381,12.010989303567381,
44,2011,11.73127017515849,11.73127017515849,
45,2012,11.930382728559582,11.930382728559582,
46,2013,11.425794058813734,11.425794058813734,
47,2014,10.799519540168497,10.799519540168497,
48,2015,11.893887648987763,11.893887648987763,
49,2016,14.533751916131676,14.533751916131676,
50,2017,15.081545785402751,15.081545785402751,
51,2018,12.128431401030618,12.128431401030618,
52,2019,12.352992785497344,12.352992785497344,
