,Year,Total,Fresh,Processed
4,1971,7.464372198808327,1.5125613379498317,5.951810860858496
5,1972,7.494197784583346,1.5274231047756983,5.9667746798076475
6,1973,8.013405764909756,1.4279714405711885,6.585434324338568
7,1974,7.703106441589178,1.361209049164383,6.341897392424794
8,1975,7.033903730217771,1.4464771059345378,5.587426624283234
9,1976,7.827094226482128,1.4479326713601026,6.3791615551220255
10,1977,7.522731543683814,1.344902583102902,6.177828960580912
11,1978,7.4807058484934625,1.2893950625603705,6.191310785933092
12,1979,7.445878775653695,1.306791673146564,6.139087102507131
13,1980,7.231725704187173,1.3145710195585925,5.9171546846285805
14,1981,7.563499863357056,1.2570510423279966,6.3064488210290595
15,1982,6.990100934871913,1.2598325494857616,5.730268385386151
16,1983,6.779373891523028,1.2389045141630426,5.540469377359986
17,1984,6.833959530524862,1.342643051771117,5.491316478753745
18,1985,6.889983538241815,1.2598693314770242,5.630114206764791
19,1986,6.634734202731709,1.2562632193508443,5.378470983380864
20,1987,6.650632609017974,1.2165244394655772,5.434108169552396
21,1988,6.692398202603042,1.189506205590541,5.502891997012501
22,1989,7.074513547872339,1.193949672922512,5.880563874949827
23,1990,6.700981725201093,1.0688002414725024,5.632181483728591
24,1991,6.989331643335319,1.1234703640731696,5.865861279262149
25,1992,7.163927665278287,1.4472934984857566,5.71663416679253
26,1993,7.211753191831088,1.51518605982594,5.696567132005148
27,1994,7.2691216153145355,1.5386694832900591,5.730452132024476
28,1995,6.828668058028863,1.6355258837697002,5.193142174259163
29,1996,7.204938471507452,1.451637126530128,5.753301344977324
30,1997,6.73885605362901,1.3497453867913467,5.389110666837663
31,1998,7.34012451569817,1.6405745540807273,5.699549961617443
32,1999,7.5269340625789924,1.8951818471508617,5.631752215428131
33,2000,7.862681733498592,2.0160333384917752,5.846648395006817
34,2001,7.830900187308835,2.1654365314683583,5.665463655840477
35,2002,7.2120935187415025,2.0933349515175412,5.118758567223961
36,2003,7.505999912502468,1.966898241505936,5.539101670996533
37,2004,7.558693445843981,1.882187011975625,5.676506433868356
38,2005,7.598320453609497,1.800891022862455,5.797429430747042
39,2006,7.923325583581308,2.0804760968819545,5.842849486699354
40,2007,7.810693861963719,2.1979002938230106,5.612793568140708
41,2008,7.378851906552493,1.9787763554837925,5.4000755510687
42,2009,7.249303983181477,1.7493667774214345,5.499937205760042
43,2010,7.525960816103588,1.8762963111475366,5.649664504956052
44,2011,6.435126556469815,1.7273672943873124,4.707759262082503
45,2012,6.464385945265163,1.6325047244877526,4.831881220777411
46,2013,6.589395286357751,1.6225593516975871,4.966835934660164
47,2014,6.017285374229835,1.4722585211531074,4.5450268530767275
48,2015,6.438621957605933,1.591918637027077,4.846703320578856
49,2016,6.8770706020882795,1.6992273504955089,5.177843251592771
50,2017,6.572599335249715,1.5537175882262086,5.0188817470235065
51,2018,6.342899583199386,1.6324603087460925,4.710439274453293
52,2019,5.497749773687216,1.3844545778636768,4.1132951958235395
