,Year,Total,Fresh,Processed
4,1971,27.711583077070564,7.455410500768079,20.256172576302486
5,1972,28.074783623895804,7.770915119868889,20.303868504026916
6,1973,28.309869327455875,7.909895285240363,20.39997404221551
7,1974,27.04568538293558,7.732593264563675,19.313092118371905
8,1975,26.04299322739671,7.774911678774662,18.26808154862205
9,1976,26.802864119832158,8.012773178618112,18.790090941214046
10,1977,28.920646805291483,7.556440957323636,21.364205847967845
11,1978,26.279835685568408,6.589904980119954,19.689930705448454
12,1979,25.986846639868677,6.482708671213703,19.504137968654973
13,1980,25.931497493223294,6.49828741557837,19.433210077644922
14,1981,24.64895625380054,6.2330083577572335,18.415947896043306
15,1982,23.365937399479883,6.017507364721691,17.34843003475819
16,1983,24.41777194453336,6.144929515550113,18.272842428983246
17,1984,24.638803880054727,6.436411562611066,18.20239231744366
18,1985,26.207507740485678,6.413224526766919,19.79428321371876
19,1986,25.706652239938343,6.06061682685715,19.646035413081194
20,1987,24.731516544208496,6.261853181990412,18.469663362218085
21,1988,24.91932722909465,5.819395072259113,19.09993215683554
22,1989,24.43418060822666,6.52762975960411,17.90655084862255
23,1990,26.28987542872283,6.7423600339020995,19.54751539482073
24,1991,26.332842929617655,5.908121155219277,20.424721774398378
25,1992,27.664174508859247,6.868696606382398,20.795477902476847
26,1993,27.77307040831292,6.976713907513785,20.796356500799135
27,1994,27.330660974427808,8.154861241440047,19.175799732987763
28,1995,28.560594977077717,7.822810220703263,20.737784756374452
29,1996,29.037586182326937,8.326093181590629,20.711493000736308
30,1997,27.497252539612724,8.290438929032069,19.206813610580653
31,1998,28.340067672035616,9.333511819350631,19.006555852684983
32,1999,28.237924979712936,9.094929708730911,19.142995270982027
33,2000,27.090129835363484,9.03966842077306,18.050461414590423
34,2001,27.15660034814743,9.173192754905516,17.983407593241914
35,2002,26.143183123756366,8.973950963222004,17.169232160534364
36,2003,26.49749755550892,9.165590944935994,17.33190661057293
37,2004,26.24248932830195,8.962318799886262,17.280170528415688
38,2005,26.6806897467504,8.65154818683392,18.02914155991648
39,2006,26.114593579345133,8.326235799446364,17.788357779898767
40,2007,26.05341127301902,9.224536442022373,16.828874830996646
41,2008,25.128845507606222,9.142437457078302,15.98640805052792
42,2009,25.83656512775835,9.174135240815552,16.6624298869428
43,2010,24.650674352135773,9.248353905075144,15.402320447060632
44,2011,23.743829535320238,8.169059935955735,15.574769599364505
45,2012,24.32311054897454,8.680977379226661,15.64213316974788
46,2013,21.663290450428597,8.87552849853671,12.787761951891888
47,2014,21.09230956658579,7.646540787167296,13.445768779418493
48,2015,21.97126905571197,8.61635487657195,13.354914179140021
49,2016,19.56619450756929,7.097155347638889,12.4690391599304
50,2017,20.3310940909344,7.2201055910934375,13.110988499840964
51,2018,19.920096645413793,6.80764523092739,13.112451414486404
52,2019,15.74105798709108,5.108091377853002,10.632966609238078
