,Year,Total,Fresh,Processed
4,1971,4.926249993980574,4.926249993980574,
5,1972,4.855309296032321,4.855309296032321,
6,1973,5.032395981293857,5.032395981293857,
7,1974,4.8970325549206475,4.8970325549206475,
8,1975,5.365485500502377,5.365485500502377,
9,1976,5.383172426445294,5.383172426445294,
10,1977,4.715286575038935,4.715286575038935,
11,1978,4.902835516966552,4.902835516966552,
12,1979,5.066636793000378,5.066636793000378,
13,1980,4.386707652183853,4.386707652183853,
14,1981,4.671536772418096,4.671536772418096,
15,1982,5.392560317159027,5.392560317159027,
16,1983,4.485194573643639,4.485194573643639,
17,1984,4.832082174041244,4.832082174041244,
18,1985,5.260407250410774,5.260407250410774,
19,1986,4.26208086742915,4.26208086742915,
20,1987,4.302285253905334,4.302285253905334,
21,1988,3.93099174289549,3.93099174289549,
22,1989,3.9246786057057257,3.9246786057057257,
23,1990,4.399286327778934,4.399286327778934,
24,1991,3.8666558004757525,3.8666558004757525,
25,1992,4.07558626154497,4.07558626154497,
26,1993,3.659701160699229,3.659701160699229,
27,1994,4.462573000231133,4.462573000231133,
28,1995,4.207596582282889,4.207596582282889,
29,1996,4.28738263270135,4.28738263270135,
30,1997,4.260936971469441,4.260936971469441,
31,1998,3.8476933083652236,3.8476933083652236,
32,1999,3.7182721872930053,3.7182721872930053,
33,2000,4.20461790537741,4.20461790537741,
34,2001,4.3690054768300195,4.3690054768300195,
35,2002,3.7559500474233647,3.7559500474233647,
36,2003,4.695712511865687,4.695712511865687,
37,2004,4.703106720388113,4.703106720388113,
38,2005,4.540353077774558,4.540353077774558,
39,2006,4.6544869528529365,4.6544869528529365,
40,2007,5.090030918638714,5.090030918638714,
41,2008,5.0688895098543725,5.0688895098543725,
42,2009,5.252151862829191,5.252151862829191,
43,2010,6.339148248789533,6.339148248789533,
44,2011,7.109339215361449,7.109339215361449,
45,2012,6.893321262089066,6.893321262089066,
46,2013,6.288071324645316,6.288071324645316,
47,2014,7.492532472381751,7.492532472381751,
48,2015,7.564533177215622,7.564533177215622,
49,2016,7.223243792364545,7.223243792364545,
50,2017,8.00958017368251,8.00958017368251,
51,2018,5.559301638372342,5.559301638372342,
52,2019,7.096137480035908,7.096137480035908,
