,Year,Total,Fresh,Processed
4,1971,79.6602575844903,11.343046599987478,68.31721098450282
5,1972,76.96396491232231,12.094318614933112,64.8696462973892
6,1973,70.90918031435432,12.484319684392828,58.424860629961486
7,1974,73.17144463529884,11.84303777343421,61.328406861864636
8,1975,73.93328879478955,11.996531973904146,61.93675682088541
9,1976,78.20721822153871,12.555901116793176,65.65131710474553
10,1977,75.12671286027758,12.356947679566291,62.76976518071128
11,1978,71.75927029596907,12.916449895545522,58.842820400423555
12,1979,76.71746749765032,12.41815111861545,64.29931637903486
13,1980,76.44196632850876,12.829136769626656,63.6128295588821
14,1981,71.63126875440429,12.312185279563066,59.31908347484122
15,1982,73.00421144743046,12.88340913397764,60.12080231345283
16,1983,74.41446093934962,13.469781099156233,60.94467984019339
17,1984,82.70782675879455,14.19725151048454,68.51057524831002
18,1985,78.08162600866278,14.851576325346171,63.23004968331661
19,1986,79.41133810626559,15.795267835994864,63.61607027027072
20,1987,81.05138151050983,15.84982537355233,65.20155613695749
21,1988,78.1241709894254,16.83324694618012,61.290924043245276
22,1989,86.24071401136887,16.84340566907359,69.39730834229528
23,1990,90.83576162586155,15.523006360641581,75.31275526521998
24,1991,92.47010073650947,15.361408741069773,77.1086919954397
25,1992,88.76142407374246,15.446005885696044,73.31541818804642
26,1993,92.0780597721465,16.302736493054887,75.77532327909162
27,1994,92.49295780189422,16.212377298470976,76.28058050342324
28,1995,91.40519946817454,16.842481503018114,74.56271796515642
29,1996,90.84986615127373,17.40330253979909,73.44656361147464
30,1997,89.86708457703509,17.29497930834848,72.5721052686866
31,1998,92.52677421567294,18.496974880031868,74.02979933564107
32,1999,90.25309805516528,19.068020641257455,71.18507741390782
33,2000,89.1239902515856,18.9848348283372,70.1391554232484
34,2001,84.73265603009459,19.203053458327584,65.529602571767
35,2002,89.64823706408286,20.311476255839636,69.33676080824323
36,2003,89.23891957612803,19.411739903365675,69.82717967276236
37,2004,90.48507563909533,19.949802337216507,70.53527330187882
38,2005,93.85836992317206,20.1511976100873,73.70717231308477
39,2006,84.27969844893485,19.770286983104192,64.50941146583067
40,2007,87.90257884340433,19.20830536115199,68.69427348225234
41,2008,85.62398350847803,18.51358985868666,67.11039364979138
42,2009,89.86504934026404,19.589326086585007,70.27572325367903
43,2010,91.60591290663461,20.553096701194676,71.05281620543994
44,2011,86.73017868529124,20.971903327231523,65.75827535805972
45,2012,87.33756908253959,20.791485097971,66.54608398456858
46,2013,86.220763168818,20.24071876174202,65.98004440707598
47,2014,87.99637524591161,20.633706898463714,67.3626683474479
48,2015,76.86805089954368,20.55901765256222,56.309033246981464
49,2016,81.4555002582917,20.310503320672556,61.144996937619155
50,2017,78.01515751192545,20.13422981828702,57.88092769363843
51,2018,85.93114838010518,20.29764948541441,65.63349889469077
52,2019,82.15539395702262,18.335115366293156,63.820278590729465
