,Year,Total,Fresh,Processed
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,,,
16,1983,,,
17,1984,,,
18,1985,,,
19,1986,,,
20,1987,,,
21,1988,,,
22,1989,,,
23,1990,,,
24,1991,,,
25,1992,,,
26,1993,,,
27,1994,,,
28,1995,,,
29,1996,,,
30,1997,0.5282435363780266,0.5282435363780266,
31,1998,0.5147913007261468,0.5147913007261468,
32,1999,0.5139322992523114,0.5139322992523114,
33,2000,0.515253997202401,0.515253997202401,
34,2001,0.41498863378027323,0.41498863378027323,
35,2002,0.45786113858047317,0.45786113858047317,
36,2003,0.5225479638639934,0.5225479638639934,
37,2004,0.5080344983681824,0.5080344983681824,
38,2005,0.4432867486807972,0.4432867486807972,
39,2006,0.5296372783800575,0.5296372783800575,
40,2007,0.45799935767058286,0.45799935767058286,
41,2008,0.36959982786750195,0.36959982786750195,
42,2009,0.34339579747952026,0.34339579747952026,
43,2010,0.3369493415180222,0.3369493415180222,
44,2011,0.3182713539312137,0.3182713539312137,
45,2012,0.2514912758751494,0.2514912758751494,
46,2013,0.23121172988363653,0.23121172988363653,
47,2014,0.39376357276062235,0.39376357276062235,
48,2015,0.27414575147423165,0.27414575147423165,
49,2016,0.25435338175742994,0.25435338175742994,
50,2017,0.35454053542611125,0.35454053542611125,
51,2018,0.3642340088659675,0.3642340088659675,
52,2019,0.3724525650120712,0.3724525650120712,
